nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Daun Mangkokan,Lauk Pauk,54,3.7,0.3,11.8
Daun matel ambon segar,Lauk Pauk,71,6.8,1.6,11.5
Daun Melinjo,Lauk Pauk,99,5.0,1.3,21.3
Daun Mengkudu Kukus,Lauk Pauk,63,3.8,1.5,11.5
Daun ndusuk segar,Lauk Pauk,166,1.7,0.5,38.8
Daun Oyong,Lauk Pauk,22,1.0,0.1,5.3
Daun oyong segar,Lauk Pauk,22,1.0,0.1,5.3
Daun Pakis,Lauk Pauk,35,4.0,0.3,6.4
Daun pakis longgiho segar,Lauk Pauk,54,2.2,3.6,3.1
Daun pakis segar,Lauk Pauk,39,4.5,0.4,6.9
Daun pakis wambateu segar,Lauk Pauk,53,3.4,1.2,7.2
Daun paku segar,Lauk Pauk,29,3.4,0.1,6.5
Daun pangisegar,Lauk Pauk,104,3.9,0.6,17.9
Daun pare segar,Lauk Pauk,49,2.7,1.0,8.4
Daun pepaya segar,Buah,87,8.0,2.0,11.9
Daun Pete Cina,Lauk Pauk,128,12.0,6.5,12.4
Daun Poh-pohan,Lauk Pauk,37,2.5,0.8,6.9
Daun salam  bubuk,Lauk Pauk,301,14.2,10.9,49.0
Daun selasih segar,Lauk Pauk,62,4.0,0.5,10.5
Daun Semanggi,Lauk Pauk,45,4.4,8.0,0.5
Daun semanggi segar,Lauk Pauk,45,4.4,0.5,8.5
Daun simpur segar,Lauk Pauk,53,3.2,2.5,7.6
Daun singkil segar,Lauk Pauk,68,2.0,1.0,15.2
Daun Singkong,Makanan Pokok,73,6.8,1.2,13.0
Daun singkong ambon segar,Makanan Pokok,144,12.7,1.2,25.2
Daun singkong ampenan segar,Makanan Pokok,50,6.2,1.1,7.1
Daun singkong kopang segar,Makanan Pokok,74,6.3,0.7,10.7
Daun Singkong lodeh,Makanan Pokok,55,4.0,0.5,8.5
Daun Singkong rebus,Makanan Pokok,31,3.7,0.6,4.8
Daun singkong segar,Makanan Pokok,50,6.2,1.1,7.1
Daun Sintrong,Lauk Pauk,36,2.6,0.9,6.1
Daun talas rebus,Lauk Pauk,27,1.3,0.2,5.9
Daun talas segar,Lauk Pauk,59,3.0,0.4,13.5
Daun Tales,Lauk Pauk,71,4.1,2.1,12.3
Daun Tales rebus,Lauk Pauk,27,1.3,0.2,5.9
Daun tespong segar,Lauk Pauk,70,2.9,0.3,13.9
Daun Ubi Jalar,Makanan Pokok,47,2.8,0.4,10.4
Daun Ubi Jalar kukus,Makanan Pokok,56,3.1,0.3,13.0
Daun ubi kuning segar,Makanan Pokok,62,3.7,0.3,11.1
Daun ubi merah kukus,Makanan Pokok,56,3.1,0.3,13.0
Daun ubi merah segar,Makanan Pokok,48,3.0,0.3,10.8
Daun ubi putih segar,Makanan Pokok,46,2.8,0.2,8.2
Daun ubi tinta segar,Makanan Pokok,55,1.7,0.1,11.9
Deblo ,Lauk Pauk,260,2.0,15.0,53.0
Dendeng belut goreng,Lauk Pauk,382,55.7,14.1,8.0
Dendeng Daging Sapi,Lauk Pauk,433,55.0,9.0,0.0
Dendeng mujahir goreng,Lauk Pauk,598,74.3,26.9,9.2
Dideh darah ayam,Lauk Pauk,77,13.8,1.9,0.7
Dideh darah sapi,Lauk Pauk,104,21.9,1.1,0.0
Djibokum masakan,Lauk Pauk,248,10.0,2.3,40.9
Dodol,Lauk Pauk,395,3.0,5.7,81.2
Dodol bali,Lauk Pauk,298,3.7,2.1,65.9
Dodol banjarmasin,Lauk Pauk,368,2.6,8.6,70.0
Dodol galamai,Lauk Pauk,348,0.4,3.8,76.1
Dodol kedondong,Lauk Pauk,331,1.9,7.6,63.8
Dodol manado,Lauk Pauk,373,4.3,16.5,51.9
Dodonkol ,Sayur Mayur,17,3.3,2.3,39.5
Domba daging gemuk segar,Lauk Pauk,317,15.7,27.7,0.0
Domba daging kurus  segar,Lauk Pauk,202,17.1,14.8,0.0
Domba ginjal segar,Lauk Pauk,100,16.6,3.3,1.0
Duku,Lauk Pauk,63,1.0,0.2,16.1
Durian,Lauk Pauk,134,2.5,3.0,28.0
Duwet segar,Lauk Pauk,80,0.5,0.6,18.2
Eceng Gondok,Lauk Pauk,18,1.0,0.2,3.8
Embacang,Lauk Pauk,98,1.4,0.2,25.4
Empal (daging) Goreng masakan,Lauk Pauk,248,36.2,6.9,10.1
Empal Goreng,Lauk Pauk,590,18.5,57.0,0.0
Emping (kerupuk melinjo),Makanan Ringan,345,12.0,1.5,71.5
Emping beras,Makanan Pokok,403,10.6,2.2,85.3
Emping komak,Lauk Pauk,355,17.8,4.6,60.7
Encung asam segar,Lauk Pauk,122,3.5,4.5,17.5
Enting-enting gepuk hello kity,Lauk Pauk,538,13.6,30.3,52.6
Enting-enting gepuk kacang tanah,Lauk Pauk,524,13.3,29.2,52.0
Enting-enting wijen,Lauk Pauk,565,18.2,38.4,36.8
Erbis,Lauk Pauk,70,0.6,0.0,18.9
Es krim,Lauk Pauk,210,4.0,12.5,20.6
Es Krim (Coconut milk) ,Lauk Pauk,156,3.0,1.7,32.7
Es Mambo ,Lauk Pauk,152,0.0,0.0,37.6
Es Sirup ,Lauk Pauk,44,0.0,0.0,11.3
Fillet o-fish,Lauk Pauk,270,12.3,15.9,19.3
Gadeng/Gadung kering,Lauk Pauk,322,2.4,0.6,76.6
Gado-gado,Lauk Pauk,137,6.1,3.2,21.0
Gadung kukus,Lauk Pauk,88,0.8,0.3,20.9
Gadung mentah,Lauk Pauk,101,2.1,0.2,23.2
Gadung ubi kukus,Makanan Pokok,88,0.6,0.3,20.9
Gadung ubi segar,Makanan Pokok,100,0.9,0.3,23.5
Gambas (Oyong),Lauk Pauk,18,0.8,0.2,4.1
Gambas lodeh,Lauk Pauk,13,0.3,0.6,1.6
Gandaria,Lauk Pauk,68,0.7,0.1,18.0
Ganyong kukus,Lauk Pauk,100,0.8,0.2,23.8
Ganyong mentah,Lauk Pauk,95,1.0,0.1,22.6
Ganyong rebus,Lauk Pauk,100,0.8,0.2,23.8
Ganyong segar,Lauk Pauk,77,0.6,0.2,18.4
Gaplek,Lauk Pauk,338,1.5,0.7,81.3
Gatep segar,Lauk Pauk,191,4.5,1.5,39.7
Gatot,Lauk Pauk,347,1.3,0.7,83.8
Geblek,Lauk Pauk,195,0.4,1.7,44.4
Gelatine,Lauk Pauk,389,0.0,0.0,91.0
Gembili,Lauk Pauk,95,1.5,0.1,22.4
Gembili ubi segar,Makanan Pokok,131,1.1,0.2,31.3
Gemblong,Lauk Pauk,274,1.7,5.4,55.5
Gendar goreng,Lauk Pauk,407,6.4,28.2,32.0
Genjer segar,Lauk Pauk,35,1.7,0.2,7.7
Geplak,Lauk Pauk,350,1.4,14.4,53.6
Geplak jahe,Lauk Pauk,462,3.1,24.4,57.7
Gete kuah asam masakan,Lauk Pauk,75,8.2,2.0,6.0
Getuk goreng,Lauk Pauk,360,1.3,6.4,74.3
Getuk Lindri ,Lauk Pauk,171,4.0,4.0,32.0
Getuk pisang,Buah,144,1.1,0.4,34.1
Getuk singkong,Makanan Pokok,204,0.5,1.4,47.4
Ginjal Babi,Lauk Pauk,114,16.3,4.6,0.8
Ginjal Domba,Lauk Pauk,105,16.6,3.3,1.0
Ginjal Sapi,Lauk Pauk,141,15.0,8.1,0.9
Gudeg ,Lauk Pauk,53,1.6,1.6,8.8
Gudeg sayur,Sayur Mayur,160,3.3,9.2,16.0
Gula Aren,Lauk Pauk,368,0.0,0.0,95.0
Gula Kelapa,Lauk Pauk,386,3.0,10.0,76.0
Gula Merah Tebu belum dimurnikan,Lauk Pauk,356,0.4,0.5,90.6
Gula putih,Lauk Pauk,394,0.0,0.0,94.0
Gulai asam keueung masakan,Lauk Pauk,52,10.0,0.5,1.8
Gulai ikan masakan,Lauk Pauk,106,16.5,3.3,2.5
Gulai ikan paya masakan,Lauk Pauk,148,10.0,9.8,5.0
Gulai kambing,Lauk Pauk,126,4.2,9.4,6.2
Gulai keumamah masakan,Lauk Pauk,110,5.9,8.2,3.2
Gulai pakis,Lauk Pauk,143,4.0,11.4,6.0
Gulai pliek,Lauk Pauk,176,7.3,14.9,3.2
Gulai tiram masakan,Lauk Pauk,132,9.0,7.2,7.8
Gurame asem manis masakan,Lauk Pauk,192,12.7,10.1,12.7
Gurandil,Lauk Pauk,218,0.5,2.5,48.5
Ham,Lauk Pauk,389,16.9,35.0,0.3
Hangop,Lauk Pauk,65,10.0,1.0,3.5
Hati Babi,Lauk Pauk,134,19.7,4.8,1.7
Hati Sapi,Lauk Pauk,136,19.7,3.2,6.0
Havermout,Lauk Pauk,390,14.2,7.4,68.2
Hofa/Ubi hutan segar,Makanan Pokok,127,1.2,0.5,29.5
Ikan asar merah masakan,Lauk Pauk,146,17.7,5.9,5.6
Ikan Asin bilis goreng,Lauk Pauk,380,33.6,27.5,0.0
Ikan Asin gabus goreng,Lauk Pauk,456,46.5,24.4,0.0
Ikan Asin japuh goreng,Lauk Pauk,348,18.7,29.5,0.0
Ikan Asin kering,Lauk Pauk,193,42.0,1.5,0.0
Ikan Asin pari goreng,Lauk Pauk,430,58.2,23.6,0.0
Ikan Asin pepetek goreng,Lauk Pauk,652,40.4,54.3,0.0
Ikan Asin sirinding goreng,Lauk Pauk,319,6.9,31.7,0.0
Ikan Asin teri goreng,Lauk Pauk,430,33.4,32.4,0.0
Ikan Bader (Tawes),Lauk Pauk,198,19.0,13.0,0.0
Ikan balong segar,Lauk Pauk,107,16.5,3.9,1.5
Ikan bambangan segar,Lauk Pauk,112,20.0,1.3,3.7
Ikan Bandeng,Lauk Pauk,129,20.0,4.8,0.0
Ikan bandeng presto masakan,Lauk Pauk,296,17.1,20.3,11.3
Ikan banjar segar,Lauk Pauk,111,19.4,0.9,4.8
Ikan baronang segar,Lauk Pauk,78,14.5,0.6,3.7
